Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770201029.4415214,0.2056,-0.46,-67,500,50.0
1770201029.521546,0.2102,0.18,-73,500,50.0
1770201029.6151936,0.2143,4.59,-121,469,46.9
1770201470.5183034,0.1850,1.16,-72,500,50.0
1770201470.581109,0.1992,1.27,-78,500,50.0
1770201470.6435316,0.2168,3.37,-104,490,49.1
1770201470.6978202,0.2047,1.76,-84,500,50.0
1770201470.760521,0.1884,1.71,-78,500,50.0
1770201470.8228693,0.2070,2.90,-95,495,49.6
1770201470.8850312,0.2119,2.62,-94,498,49.8
1770201470.9482563,0.2062,2.63,-92,497,49.8
1770201694.0303035,0.3728,-40.80,5,200,20.0
1770201694.0851078,0.4242,-38.81,-54,200,20.0
1770201694.1464968,0.4225,-38.44,-55,200,20.0
1770201694.2088068,0.4108,-39.09,-40,200,20.0
1770201694.2705116,0.4351,-38.48,-66,200,20.0
1770201702.7252123,0.4642,-29.07,-166,200,20.0
1770201702.7878828,0.4591,-29.22,-160,200,20.0
1770201702.8411736,0.4382,-32.00,-120,200,20.0
1770201702.9038005,0.4730,-28.72,-176,200,20.0
1770201702.966204,0.4627,-29.13,-164,200,20.0
1770201703.02816,0.4534,-29.86,-150,200,20.0
1770201722.5741327,0.6698,-15.47,-250,200,20.0
1770201722.6386092,0.6856,-10.40,-250,286,28.6
1770201722.700598,0.6642,-3.83,-216,483,48.4
1770201722.7637942,0.6671,-1.15,-220,500,50.0
1770201722.8261328,0.5385,-6.85,-217,405,40.6
1770201722.8885055,0.5539,-4.78,-185,464,46.5
1770201722.9512372,0.6452,-1.56,-209,500,50.0
1770201723.0134366,0.6679,1.56,-242,500,50.0
1770201723.0766637,0.5878,-2.01,-185,499,50.0
1770201723.138577,0.5662,-1.47,-182,500,50.0
1770201723.2024386,0.7372,6.62,-250,413,41.3
1770201723.2647426,0.7135,5.07,-250,457,45.8
1770201723.3285275,0.6934,3.98,-250,481,48.1
1770201723.713705,0.7170,4.83,-250,463,46.4
1770201723.7763047,0.7192,6.40,-250,420,42.0
1770201723.8392038,0.7203,5.98,-250,432,43.3
1770201723.9020004,0.7153,5.62,-250,443,44.3
1770201723.96461,0.7103,5.57,-250,444,44.5
1770201724.0273707,0.6969,4.70,-250,466,46.7
1770201724.0902677,0.6964,4.70,-250,466,46.7
1770201724.1535141,0.6989,4.58,-250,469,46.9
1770201724.2169106,0.6870,4.02,-250,480,48.0
1770201724.279579,0.7002,4.18,-250,477,47.7
1770201724.3423667,0.6999,4.58,-250,469,46.9
1770201724.4053307,0.6987,4.57,-250,469,46.9
1770201724.4680333,0.7126,5.19,-250,454,45.5
1770201724.5306218,0.6971,3.66,-250,486,48.6
1770201724.5934114,0.6957,3.96,-250,481,48.2
1770201724.6560338,0.6944,3.63,-250,487,48.7
1770201724.7190664,0.6816,2.93,-250,495,49.6
1770201724.782025,0.6973,4.20,-250,477,47.7
1770201724.845086,0.6816,3.69,-250,486,48.6
1770201724.908252,0.6843,4.07,-250,479,48.0
1770201724.9712372,0.6842,4.29,-250,475,47.5
1770201725.0342858,0.6836,4.40,-250,473,47.3
1770201725.097336,0.6748,3.80,-250,484,48.4
1770201725.1607244,0.6770,2.90,-250,495,49.6
1770201725.2233567,0.6765,3.56,-250,488,48.8
1770201725.2855859,0.6776,3.34,-250,491,49.1
1770201725.3482492,0.6914,4.02,-250,480,48.1
1770201725.411958,0.6907,4.37,-250,473,47.4
1770201725.4737704,0.6876,3.47,-250,489,48.9
1770201725.549372,0.6745,2.65,-250,497,49.8
1770201725.6072512,0.6891,3.82,-250,483,48.4
1770201725.662051,0.6967,4.51,-250,470,47.1
1770201725.724472,0.6913,4.32,-250,474,47.5
1770201725.7884014,0.6982,4.40,-250,473,47.3
1770201725.8506556,0.6862,3.37,-250,490,49.1
1770201725.9152553,0.6670,3.02,-250,494,49.5
1770201725.9785666,0.6866,3.00,-250,494,49.5
1770201726.0402913,0.6952,3.74,-250,485,48.5
1770201726.102402,0.6689,2.93,-250,495,49.6
1770201726.1648922,0.6814,4.98,-250,459,46.0
1770201726.229235,0.6823,4.16,-250,477,47.8
1770201726.2908957,0.6838,2.20,-250,499,50.0
1770201726.354441,0.6675,2.89,-250,495,49.6
1770201726.416821,0.6637,2.40,-248,499,49.9
1770201726.4790547,0.6635,2.09,-244,499,50.0
1770201726.5414932,0.6629,2.08,-244,499,50.0
1770201726.6042438,0.6733,3.05,-250,494,49.4
1770201726.6750782,0.6625,1.75,-241,500,50.0
1770201726.7288375,0.6618,1.61,-240,500,50.0
1770201726.7915335,0.6561,1.80,-239,500,50.0
1770201726.862459,0.6564,1.69,-239,500,50.0
1770201726.9170003,0.6476,0.48,-226,500,50.0
1770201726.9790804,0.6599,0.64,-232,500,50.0
1770201727.0417187,0.6583,0.88,-233,500,50.0
1770201727.1042233,0.6596,2.13,-243,499,50.0
1770201727.1666183,0.6613,2.99,-250,495,49.5
1770201727.2295165,0.6648,2.93,-250,495,49.6
1770201727.2923408,0.6587,2.43,-246,499,49.9
1770201727.3546348,0.6531,1.06,-232,500,50.0
1770201727.425933,0.6564,2.23,-243,499,50.0
1770201727.4799209,0.6425,1.20,-230,500,50.0
1770201727.5425599,0.6636,4.34,-250,474,47.4
1770201727.604974,0.6622,3.57,-250,487,48.8
1770201727.6672888,0.6438,1.83,-235,500,50.0
1770201727.7301414,0.6452,2.85,-248,496,49.6
1770201727.792764,0.6396,1.01,-227,500,50.0
1770201727.855234,0.6408,1.54,-232,500,50.0
1770201727.9172974,0.6373,1.44,-230,500,50.0
1770201727.979883,0.6395,0.86,-226,500,50.0
1770201728.0425203,0.6437,0.37,-224,500,50.0
1770201728.1051328,0.6587,2.48,-247,498,49.9
1770201728.1670122,0.6544,1.83,-239,500,50.0
1770201728.2296994,0.6428,-0.97,-213,500,50.0
1770201728.2917433,0.6542,2.24,-243,499,50.0
1770201728.3548646,0.6287,-2.06,-199,499,50.0
1770201728.41679,0.6317,1.41,-228,500,50.0
1770201728.4791906,0.6320,-0.23,-215,500,50.0
1770201728.5415516,0.6257,-2.11,-198,499,50.0
1770201728.6050224,0.6372,0.84,-225,500,50.0
1770201728.6672316,0.6203,-0.78,-206,500,50.0
1770201728.7298687,0.6212,-0.88,-206,500,50.0
1770201728.7920942,0.6275,-0.82,-209,500,50.0
1770201728.8554106,0.6336,-0.62,-212,500,50.0
1770201728.918099,0.6284,-0.19,-214,500,50.0
1770201728.9797845,0.6213,-1.12,-204,500,50.0
1770201729.0433192,0.6250,-1.41,-203,500,50.0
1770201729.1070583,0.6177,-1.47,-200,500,50.0
1770201729.167678,0.6471,0.30,-224,500,50.0
1770201729.2305927,0.6198,-1.21,-203,500,50.0
1770201729.292723,0.6208,-1.76,-199,500,50.0
1770201729.35523,0.6315,-1.20,-207,500,50.0
1770201729.417666,0.6288,-0.95,-208,500,50.0
1770201729.4799898,0.6519,-0.34,-221,500,50.0
1770201729.5422804,0.6272,-1.08,-206,500,50.0
1770201729.604632,0.6366,-2.66,-200,497,49.8
1770201729.6677728,0.6393,-2.45,-201,498,49.9
1770201729.7307703,0.6361,-3.10,-200,493,49.4
1770201729.7925825,0.6379,-2.68,-200,497,49.8
1770201729.855545,0.6372,-2.82,-200,496,49.7
1770201729.9176843,0.6276,-4.92,-218,461,46.1
1770201729.9799497,0.6271,-6.34,-248,422,42.2
1770201730.0422616,0.6306,-4.76,-216,465,46.5
1770201730.1042352,0.6355,-5.33,-229,450,45.1
1770201730.1671948,0.6372,-2.52,-200,498,49.9
1770201730.22933,0.6348,-3.19,-200,492,49.3
1770201730.2916467,0.6369,-2.56,-200,498,49.8
1770201730.3540332,0.6440,-1.40,-210,500,50.0
1770201730.4168735,0.6369,-2.61,-200,498,49.8
1770201730.4788933,0.6389,-1.52,-207,500,50.0
1770201730.5420322,0.6341,-4.51,-213,470,47.1
1770201730.6070867,0.6294,-3.91,-204,482,48.2
1770201730.6789525,0.6342,-3.42,-201,490,49.0
1770201730.7421253,0.6429,-1.27,-210,500,50.0
1770201730.805169,0.6484,-2.14,-205,499,50.0
1770201730.8685925,0.6375,-2.92,-200,495,49.6
1770201730.9318843,0.6276,-5.51,-229,446,44.6
1770201730.9954896,0.6424,-1.42,-209,500,50.0
1770201731.048467,0.6385,-1.68,-206,500,50.0
1770201731.1115775,0.6236,-1.89,-199,500,50.0
1770201731.1751375,0.6351,-0.44,-214,500,50.0
1770201731.2400765,0.6496,0.75,-229,500,50.0
1770201731.2992992,0.6491,0.35,-225,500,50.0
1770201731.3532624,0.6466,-2.59,-203,498,49.8
1770201731.4153562,0.6317,-3.44,-200,489,49.0
1770201731.4780722,0.6175,-4.68,-209,467,46.7
1770201731.548804,0.6140,-5.38,-221,449,45.0
1770201731.6024144,0.6434,-1.25,-211,500,50.0
1770201731.665681,0.6165,-4.21,-202,476,47.7
1770201731.7277186,0.6281,-1.54,-203,500,50.0
1770201731.7900493,0.6266,-2.00,-199,500,50.0
1770201731.8521297,0.6487,-0.94,-215,500,50.0
1770201731.914736,0.6444,-1.09,-212,500,50.0
1770201731.9783506,0.6116,-5.63,-225,442,44.3
1770201732.0399582,0.6461,-0.42,-218,500,50.0
1770201732.1020956,0.6475,0.14,-223,500,50.0
1770201732.164284,0.6340,-0.10,-217,500,50.0
1770201732.2269151,0.6479,0.03,-222,500,50.0
1770201732.2906682,0.6311,-0.76,-210,500,50.0
1770201733.476701,0.6602,0.34,-229,500,50.0
1770201733.5471504,0.6457,-2.08,-205,499,50.0
1770201733.6001153,0.6477,-0.26,-220,500,50.0
1770201733.6632664,0.6461,-1.59,-209,500,50.0
1770201733.735092,0.6323,-4.81,-217,464,46.4
1770201733.7888865,0.6571,-0.60,-221,500,50.0
