Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770198342.4920824,-0.2229,-25.59,250,200,20.0
1770198342.5308468,-0.1735,-12.01,233,240,24.0
1770198342.5922189,-0.2247,-19.37,250,200,20.0
1770198342.6543376,-0.2814,-22.46,250,200,20.0
1770198342.7079575,-0.2968,-24.74,250,200,20.0
1770198343.231871,-0.2793,-27.22,250,200,20.0
1770198343.285797,-0.2927,-30.20,250,200,20.0
1770198343.346487,-0.2595,-26.45,250,200,20.0
1770198343.3996978,-0.2545,-28.44,250,200,20.0
1770198343.4612722,-0.2334,-29.06,250,200,20.0
1770198343.5135655,-0.2306,-32.97,250,200,20.0
