Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770202491.9686038,-0.2789,-11.47,250,254,25.4
1770202492.0087008,-0.2936,-14.46,250,201,20.2
1770202492.0711286,-0.3078,-17.28,250,200,20.0
1770202492.133698,-0.3230,-19.39,250,200,20.0
1770202492.1872942,-0.2472,-2.60,106,498,49.8
1770202492.2498617,-0.2383,-1.48,93,500,50.0
1770202492.3241467,-0.2280,0.43,74,500,50.0
1770202492.3841467,-0.2182,3.96,50,481,48.2
1770202492.4376569,-0.1857,11.40,50,256,25.6
1770202532.633457,0.4489,-29.49,-149,200,20.0
1770202532.6953661,0.4487,-29.42,-150,200,20.0
1770202532.757682,0.4547,-29.43,-155,200,20.0
1770202532.8230305,0.4621,-29.55,-160,200,20.0
1770202532.8859615,0.4879,-29.38,-184,200,20.0
1770202532.9488077,0.4995,-29.42,-193,200,20.0
1770202533.0090785,0.5095,-29.55,-201,200,20.0
1770202533.0720587,0.6922,-17.66,-250,200,20.0
1770202533.1344702,0.7043,-17.51,-250,200,20.0
1770202533.1968238,0.6867,-19.28,-250,200,20.0
1770202533.2594078,0.6907,-18.76,-250,200,20.0
1770202533.32206,0.6716,-20.55,-250,200,20.0
1770202533.3846974,0.6682,-21.15,-250,200,20.0
1770202533.4474916,0.6733,-21.12,-250,200,20.0
1770202533.5109787,0.6768,-21.08,-250,200,20.0
1770202533.572852,0.6691,-21.80,-250,200,20.0
1770202533.6361456,0.6879,-20.56,-250,200,20.0
1770202533.698969,0.6759,-21.68,-250,200,20.0
1770202533.7532759,0.6838,-21.21,-250,200,20.0
1770202533.8242905,0.7665,-14.38,-250,202,20.2
1770202533.8868136,0.6950,-20.55,-250,200,20.0
1770202533.949271,0.7154,-18.51,-250,200,20.0
1770202534.0147226,0.7141,-18.36,-250,200,20.0
1770202534.0774384,0.6963,-19.53,-250,200,20.0
1770202534.1409817,0.6924,-19.14,-250,200,20.0
1770202534.2026148,0.6824,-19.20,-250,200,20.0
1770202534.2654536,0.6949,-17.48,-250,200,20.0
1770202534.3276544,0.6889,-17.51,-250,200,20.0
1770202534.3892367,0.7070,-16.35,-250,200,20.0
1770202534.4527922,0.6775,-19.01,-250,200,20.0
1770202534.5148757,0.6794,-18.79,-250,200,20.0
1770202534.587854,0.6870,-18.35,-250,200,20.0
1770202534.6511943,0.6792,-18.74,-250,200,20.0
1770202534.713266,0.6817,-18.13,-250,200,20.0
1770202534.7758622,0.6810,-17.99,-250,200,20.0
