Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770199040.3992398,-0.6696,-19.11,250,200,20.0
1770199040.428783,-0.6701,-19.04,250,200,20.0
1770199040.4710913,-0.6716,-19.50,250,200,20.0
1770199040.523427,-0.6747,-20.10,250,200,20.0
1770199040.5756617,-0.6696,-19.00,250,200,20.0
1770199040.62782,-0.6701,-19.08,250,200,20.0
1770199065.1337845,1.1413,31.09,-250,200,20.0
1770199065.1977725,-0.8131,-58.87,250,200,20.0
1770199065.2605722,1.3687,39.18,-250,200,20.0
1770199065.3322597,1.5556,43.75,-250,200,20.0
1770199065.3959494,1.7728,48.89,-250,200,20.0
1770199065.4688396,1.8811,50.93,-250,200,20.0
1770199065.5323334,1.8821,50.97,-250,200,20.0
1770199065.6048584,2.0245,53.73,-250,200,20.0
1770199065.6695995,2.1515,55.72,-250,200,20.0
1770199065.7419746,2.2547,57.29,-250,200,20.0
1770199065.8050225,2.2753,57.58,-250,200,20.0
1770199065.8767555,2.2288,56.68,-250,200,20.0
1770199065.940243,2.2202,56.84,-250,200,20.0
1770199066.0131788,2.1959,56.46,-250,200,20.0
1770199066.0738819,2.1628,56.22,-250,200,20.0
1770199066.1488047,2.1873,56.37,-250,200,20.0
1770199066.219635,2.2750,57.57,-250,200,20.0
1770199066.2817793,2.4022,58.73,-250,200,20.0
1770199066.3548396,-6.0969,-73.99,250,200,20.0
1770199066.4163458,-3.6400,-71.51,250,200,20.0
1770199066.488971,-5.6611,-72.24,250,200,20.0
1770199066.6253562,-5.7376,-72.88,250,200,20.0
1770199066.6977127,-5.6676,-72.46,250,200,20.0
1770199066.7712734,-3.9518,-72.92,250,200,20.0
1770199066.8320792,-5.7953,-72.98,250,200,20.0
1770199066.9067194,-3.3985,-70.40,250,200,20.0
1770199066.9682653,-3.6475,-71.59,250,200,20.0
1770199067.0401318,-5.8365,-73.35,250,200,20.0
1770199067.113001,-5.8046,-73.22,250,200,20.0
1770199067.1748686,-3.3188,-70.75,250,200,20.0
1770199067.2467842,-6.1456,-74.38,250,200,20.0
1770199067.3215966,-3.3130,-70.14,250,200,20.0
1770199067.3833308,-4.0872,-73.35,250,200,20.0
1770199067.4558165,-5.9737,-73.76,250,200,20.0
1770199067.5277388,-5.9682,-73.71,250,200,20.0
1770199067.5917244,-3.6143,-71.61,250,200,20.0
1770199067.6652644,-3.2043,-69.46,250,200,20.0
1770199067.7264717,-3.1935,-69.29,250,200,20.0
1770199067.8000364,-3.1964,-69.21,250,200,20.0
1770199067.9331384,-3.9574,-72.90,250,200,20.0
1770199068.0057185,-3.9177,-72.63,250,200,20.0
1770199068.0782192,-3.3763,-70.08,250,200,20.0
1770199068.1403706,-3.9491,-72.74,250,200,20.0
1770199068.4158192,-3.0555,-67.40,250,200,20.0
1770199068.4908357,-2.6827,-64.49,250,200,20.0
1770199068.5511765,-2.6651,-63.71,250,200,20.0
1770199068.624091,-2.4403,-61.68,250,200,20.0
1770199068.6976197,1.2312,15.94,-250,200,20.0
1770199068.75902,1.3362,23.55,-250,200,20.0
1770199068.8325143,1.1791,14.88,-250,200,20.0
1770199068.9050395,1.1215,10.97,-250,268,26.9
1770199068.9661708,1.1707,12.88,-250,221,22.1
1770199069.0399015,1.0797,7.79,-250,374,37.5
1770199069.1126392,1.0145,4.05,-250,480,48.0
1770199069.173748,1.0972,8.69,-250,343,34.3
1770199069.248132,0.9931,0.96,-250,500,50.0
1770199069.319236,0.9576,-1.81,-250,500,50.0
1770199069.3820696,0.9627,-2.53,-250,498,49.9
1770199069.4564958,0.9913,-0.31,-250,500,50.0
1770199069.5184176,0.9739,0.21,-250,500,50.0
1770199069.592234,1.0189,3.20,-250,492,49.3
1770199069.6546876,1.1951,16.45,-250,200,20.0
1770199069.7278259,1.9959,45.26,-250,200,20.0
1770199069.7998521,-0.8071,-23.85,250,200,20.0
1770199069.8615534,0.0693,8.35,-107,355,35.5
1770199069.9352458,-0.1791,-15.51,250,200,20.0
1770199070.0094173,0.0696,-13.81,51,207,20.7
1770199070.071056,0.2773,-10.33,-113,288,28.8
1770199075.9584138,0.1144,-23.52,89,200,20.0
1770199076.0233457,0.2765,-49.28,156,200,20.0
1770199076.086493,0.2892,-49.98,151,200,20.0
1770199076.1405516,0.3490,-47.78,82,200,20.0
1770199076.2012048,0.3819,-45.75,37,200,20.0
1770199076.2648144,0.3465,-47.02,78,200,20.0
1770199076.3268597,0.3734,-46.33,49,200,20.0
1770199076.3889916,0.4320,-43.90,-20,200,20.0
1770199076.4523969,0.4203,-43.89,-10,200,20.0
1770199076.5147078,0.5842,-35.99,-214,200,20.0
1770199076.5797915,0.3073,-46.77,110,200,20.0
1770199076.6423097,0.6046,-26.29,-250,200,20.0
1770199076.7056823,0.6365,-24.82,-250,200,20.0
1770199076.7683995,0.5461,-30.90,-222,200,20.0
1770199076.8302546,0.4930,-31.88,-168,200,20.0
1770199076.8926172,0.6170,-25.46,-250,200,20.0
1770199076.9663093,-0.1164,-39.08,250,200,20.0
1770199077.0294096,1.5807,8.49,-250,350,35.0
1770199077.0928495,1.3678,9.35,-250,320,32.1
1770199077.1552603,1.3338,9.64,-250,311,31.1
1770199077.217705,1.2562,-2.72,-250,497,49.7
1770199077.2816844,1.2704,0.90,-250,500,50.0
1770199079.0542006,-0.3165,28.52,43,200,20.0
1770199079.1170256,-0.3753,19.50,166,200,20.0
1770199079.180483,-0.4050,15.02,227,200,20.0
1770199079.241628,-0.4848,5.41,166,448,44.9
1770199079.3053014,-0.5666,-4.53,250,470,47.0
1770199079.3672755,1.3767,15.79,-250,200,20.0
1770199079.4298768,-0.5410,0.44,182,500,50.0
1770199079.4922407,1.4623,28.20,-250,200,20.0
1770199083.0053432,-0.0779,-30.85,250,200,20.0
1770199083.0683079,-0.0700,-25.68,250,200,20.0
1770199083.1310134,0.0036,-19.73,154,200,20.0
1770199083.19536,0.0547,-15.26,75,200,20.0
1770199083.2484303,0.0757,-14.60,51,200,20.1
1770199083.3003166,0.0287,-15.52,99,200,20.0
1770199083.3632638,0.0130,-17.04,125,200,20.0
1770199083.425629,0.0586,-15.68,75,200,20.0
1770199083.4880524,0.0682,-16.32,71,200,20.0
1770199083.5512156,0.0637,-15.54,69,200,20.0
1770199083.612663,0.0643,-15.10,65,200,20.0
1770199083.6754096,0.0573,-14.24,64,202,20.3
1770199083.729083,0.0627,-14.70,63,200,20.0
1770199083.7915857,0.0724,-12.51,41,228,22.9
1770199083.8541434,0.0935,-12.62,24,226,22.6
1770199083.9164388,0.1026,-8.82,6,338,33.9
1770199083.9789057,0.1447,-11.19,-19,262,26.2
1770199084.0413506,0.1729,-11.59,-40,251,25.1
1770199084.1040668,0.1797,-10.75,-45,275,27.5
