Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770203435.2006073,-0.6722,59.55,101,200,20.0
1770203437.6141245,0.0768,51.90,-108,200,20.0
1770203437.7192647,0.2382,49.03,-108,200,20.0
1770203437.8106303,0.2564,28.98,-108,200,20.0
1770203437.9162078,0.3573,29.21,-108,200,20.0
1770203438.0194783,0.3686,37.22,-108,200,20.0
1770203438.1118734,0.5127,52.93,-108,200,20.0
1770203439.3300314,-1.1633,5.06,135,458,45.8
1770203464.0887878,-0.9192,39.62,135,200,20.0
1770203464.1938536,0.1504,57.61,-108,200,20.0
1770203464.2862985,-2.1028,-28.91,135,200,20.0
1770203464.3901455,-2.1061,-25.89,135,200,20.0
1770203464.49512,-2.1328,-27.99,135,200,20.0
1770203464.58838,1.2719,60.98,-108,200,20.0
1770203464.6805074,0.5257,57.90,-108,200,20.0
1770203467.7219226,-1.5587,-11.16,135,263,26.3
1770203468.5073972,-1.4255,7.72,135,376,37.7
1770203468.601452,-1.4304,37.84,135,200,20.0
1770203469.8909633,-0.6882,46.96,135,200,20.0
1770203470.9868164,-1.4152,-44.24,135,200,20.0
1770203471.0834525,-1.3911,-41.51,135,200,20.0
1770203471.1842213,-1.4214,-47.55,135,200,20.0
1770203471.287003,-1.3756,-46.92,135,200,20.0
1770203472.2818084,-0.3828,35.85,42,200,20.0
1770203472.373926,-0.3453,40.72,-28,200,20.0
1770203476.412965,-0.8537,-19.00,135,200,20.0
1770203478.93584,0.4543,65.10,-108,200,20.0
1770203479.04042,0.0836,61.33,-108,200,20.0
1770203479.1433136,-0.1571,60.34,-108,200,20.0
1770203479.2367477,-0.1983,60.11,-108,200,20.0
1770203479.3406749,-0.0918,61.25,-108,200,20.0
1770203479.7484326,-1.8145,13.18,135,215,21.6
1770203481.4647024,-0.7470,62.17,135,200,20.0
1770203483.8184848,1.0267,64.38,-108,200,20.0
1770203485.2879846,0.3672,57.70,-108,200,20.0
1770203485.3817859,0.1427,58.69,-108,200,20.0
1770203488.1331472,-1.7009,10.97,135,268,26.9
1770203488.2266326,-1.5177,24.46,135,200,20.0
1770203488.333954,-1.3463,33.99,135,200,20.0
1770203488.4231026,-1.4629,26.96,135,200,20.0
1770203488.5164168,-1.6396,13.86,135,206,20.7
1770203488.6235423,-1.6842,11.25,135,260,26.1
1770203488.714781,-1.2921,20.75,135,200,20.0
1770203488.80755,1.7247,79.69,-108,200,20.0
1770203488.9007933,-1.3305,30.00,135,200,20.0
1770203488.9931357,-1.6335,28.71,135,200,20.0
1770203494.4674895,-0.0091,-17.73,135,200,20.0
1770203494.573542,-0.2334,-9.05,135,330,33.1
1770203494.663933,-0.6588,-16.31,135,200,20.0
1770203494.766932,0.6787,49.11,-108,200,20.0
1770203494.8690414,0.1671,35.04,-108,200,20.0
1770203494.9714868,0.1649,-28.53,86,200,20.0
1770203495.0751019,-1.2683,31.85,135,200,20.0
1770203495.1688383,-1.3412,27.92,135,200,20.0
1770203495.2730248,0.4057,55.98,-108,200,20.0
1770203495.375481,1.6300,51.29,-108,200,20.0
1770203495.479206,1.3215,40.23,-108,200,20.0
