Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770199839.5377538,-0.7567,9.48,250,316,31.6
1770199881.4363508,-1.0889,-37.95,250,200,20.0
1770199881.508442,-1.0524,-36.17,250,200,20.0
1770199881.5811243,-1.0235,-23.73,250,200,20.0
1770199881.6421978,-1.0928,-33.02,250,200,20.0
1770199881.7171557,-1.0538,-28.84,250,200,20.0
1770199881.7885246,-0.9941,-26.42,250,200,20.0
1770199881.872755,-0.9924,-26.95,250,200,20.0
1770199881.94451,-0.9878,-25.48,250,200,20.0
1770199882.017059,-0.9602,-24.27,250,200,20.0
1770199882.0892396,-0.9360,-24.80,250,200,20.0
1770199882.150007,-0.9819,-28.69,250,200,20.0
1770199882.220406,-0.6280,-52.06,250,200,20.0
1770199882.293488,-0.6948,-53.09,250,200,20.0
1770199882.3662765,-0.6571,-52.33,250,200,20.0
1770199882.4269965,-0.4576,-44.29,250,200,20.0
1770199882.5013804,-0.4544,-42.78,250,200,20.0
1770199882.5639093,-0.4797,-44.14,250,200,20.0
1770199894.4759495,0.0109,45.23,-250,200,20.0
1770199894.549101,0.0655,46.29,-250,200,20.0
1770199894.6132543,-1.3986,21.74,250,200,20.0
1770199894.686138,-1.0514,25.90,250,200,20.0
1770199894.7528896,-0.1985,30.54,-73,200,20.0
1770199894.817401,0.3553,29.86,-250,200,20.0
1770199894.8748255,-0.1475,14.80,8,200,20.0
1770199894.9264443,0.3172,11.21,-250,261,26.2
1770199898.4800527,-0.4619,9.89,236,302,30.2
1770199898.5340674,-0.4926,9.09,240,329,33.0
1770199898.5757973,-0.4978,12.21,250,235,23.5
1770199898.648142,-0.5314,9.20,250,325,32.6
1770199898.7003605,-0.5487,8.42,250,352,35.3
1770199898.7650335,-0.5641,6.09,213,429,43.0
1770199899.6154377,-0.9094,-20.50,250,200,20.0
1770199899.6890047,-0.8052,-20.46,250,200,20.0
1770199899.761524,-0.7663,-21.58,250,200,20.0
1770199899.815879,-0.6853,-20.19,250,200,20.0
1770199899.902237,-0.5235,-16.44,250,200,20.0
1770199899.9869692,-0.4150,-12.68,250,225,22.5
1770199900.0757763,-0.3496,-12.72,250,224,22.4
1770199908.2886236,-1.2535,12.75,250,223,22.4
1770199908.3414183,-1.2713,9.14,250,328,32.8
1770199908.3936949,-1.2410,12.74,250,224,22.4
1770199908.447003,-0.6621,25.16,250,200,20.0
1770199908.4896333,-0.9951,45.56,250,200,20.0
1770199908.5423887,-0.7814,52.00,250,200,20.0
1770199908.5955088,-0.6517,54.51,124,200,20.0
1770199908.6490073,-0.6092,55.63,78,200,20.0
1770199908.7006962,-0.5701,56.56,37,200,20.0
