Timestamp,Offset_m,Heading_deg,Steer_deg,Speed_PWM,Raw_Speed
1770203012.2523332,0.3853,-25.63,-108,200,20.0
1770203012.3007762,0.3736,-27.00,-105,200,20.0
1770203034.4298494,-0.8620,-38.46,135,200,20.0
1770203034.492227,-0.9781,-44.60,135,200,20.0
1770203034.5565424,-1.1379,-52.26,135,200,20.0
1770203034.6171265,-0.9909,-50.04,135,200,20.0
1770203034.681443,-0.7900,-40.84,135,200,20.0
1770203034.7427962,-0.5999,-50.43,135,200,20.0
1770203034.8052838,-0.4896,-35.09,135,200,20.0
1770203034.857179,0.1947,40.33,-108,200,20.0
1770203034.9218853,0.0931,-14.46,35,201,20.1
1770203034.9855008,0.3248,2.12,-108,499,50.0
1770203035.0478456,1.2108,55.73,-108,200,20.0
1770203035.1101487,0.3182,37.34,-108,200,20.0
1770203035.1723745,0.1657,35.41,-108,200,20.0
1770203035.2341845,1.1219,47.74,-108,200,20.0
1770203035.2970781,1.0300,35.25,-108,200,20.0
1770203035.3503854,0.8688,-11.98,-108,241,24.1
1770203036.950235,-0.5279,-45.30,135,200,20.0
1770203037.008189,-0.5767,-48.46,135,200,20.0
1770203037.0704684,-0.0142,-8.46,76,351,35.1
1770203037.1320565,0.0148,2.72,-26,497,49.7
1770203037.1947045,0.1679,24.04,-108,200,20.0
1770203037.248519,0.0883,11.83,-108,244,24.5
1770203037.312116,0.0574,9.34,-108,321,32.1
1770203037.3745031,0.0977,34.05,-108,200,20.0
1770203043.2519171,-0.1756,-28.03,135,200,20.0
1770203043.314919,0.0666,0.28,-25,500,50.0
1770203043.377009,0.2434,22.81,-108,200,20.0
1770203052.4293144,-2.1574,6.93,135,403,40.3
1770203065.939849,-1.0928,51.58,135,200,20.0
1770203078.82368,-0.2407,-6.07,135,430,43.0
1770203078.8842964,-0.2345,-7.91,135,370,37.0
1770203078.9476135,-0.2545,-9.60,135,312,31.2
1770203079.0086746,-0.2578,-11.86,135,243,24.4
1770203079.0716052,-0.2692,-12.36,135,232,23.2
1770203079.1333675,-0.2730,-13.37,135,212,21.3
1770203079.195976,-0.2876,-12.31,135,233,23.3
1770203079.2580152,-0.2777,-12.02,135,240,24.0
1770203079.3210406,-0.2724,-14.34,135,202,20.2
1770203079.3931007,-0.2971,-16.42,135,200,20.0
1770203079.4555116,-0.2769,-12.84,135,222,22.2
1770203079.8936417,-0.1714,-7.18,135,394,39.5
1770203087.1273086,-0.0606,-18.31,135,200,20.0
1770203087.2188778,0.1444,10.58,-108,280,28.1
1770203087.3015835,-0.0678,-7.23,93,393,39.3
1770203087.397446,-0.1068,-2.61,57,498,49.8
1770203087.4683309,-0.2229,-20.00,135,200,20.0
1770203087.5522084,-0.1979,-19.61,135,200,20.0
1770203087.6227732,-0.1175,-18.88,135,200,20.0
1770203087.706401,-0.0327,-15.48,135,200,20.0
1770203087.7919989,0.0416,-9.47,48,316,31.7
1770203087.8636353,-0.0274,-17.56,135,200,20.0
1770203087.9263008,-0.2379,-32.32,135,200,20.0
1770203088.6769013,-0.1758,-33.62,135,200,20.0
1770203088.7631025,-0.1635,-33.29,135,200,20.0
1770203088.8337457,-0.1025,-17.24,135,200,20.0
1770203088.9060245,0.1236,31.58,-108,200,20.0
1770203088.9797518,-0.1873,-38.09,135,200,20.0
1770203089.052034,-0.3193,-41.72,135,200,20.0
1770203091.383384,0.0754,-12.66,39,225,22.6
1770203091.4556365,0.0487,-4.65,17,467,46.8
1770203091.5276222,-0.2334,-12.35,135,232,23.2
1770203091.6008737,0.0675,-2.43,-3,499,49.9
1770203091.6725018,0.0917,-5.21,2,454,45.4
1770203091.7571812,0.1081,-5.66,-2,442,44.2
1770203091.828373,-0.0182,-5.73,53,439,44.0
1770203091.9019763,-0.2240,-13.48,135,211,21.1
1770203091.9736514,-0.2355,-12.26,135,234,23.4
1770203092.0459566,-0.2564,-14.21,135,203,20.3
1770203092.1297617,-0.1879,-8.59,135,346,34.7
1770203092.201981,0.0969,-4.04,-4,480,48.0
1770203092.2765045,-0.2241,-11.88,135,243,24.3
1770203092.3490918,-0.1977,-8.17,135,361,36.1
1770203092.421415,-0.2464,-12.62,135,226,22.6
1770203092.506524,-0.2086,-9.38,135,319,32.0
1770203092.5779471,-0.2168,-12.10,135,238,23.8
1770203092.6499045,-0.2520,-12.43,135,230,23.1
1770203092.722343,-0.3029,-17.49,135,200,20.0
1770203092.7944653,-0.2373,-11.20,135,261,26.2
1770203092.8911355,-0.2990,-18.03,135,200,20.0
1770203092.9654827,-0.2340,-17.23,135,200,20.0
1770203093.0288353,-0.1543,-19.03,135,200,20.0
1770203093.1120872,-0.1206,-20.42,135,200,20.0
1770203093.1855066,0.1250,-10.89,-5,271,27.1
1770203093.25842,0.1486,-17.25,10,200,20.0
1770203093.332626,0.3286,42.25,-108,200,20.0
1770203093.405824,0.2782,41.21,-108,200,20.0
1770203093.4794586,0.0768,-24.27,128,200,20.0
1770203093.5518854,0.0934,-19.80,78,200,20.0
1770203093.6248813,0.0768,-19.72,91,200,20.0
1770203093.6974814,0.0835,-19.54,84,200,20.0
1770203093.7698195,0.0541,-20.09,114,200,20.0
1770203093.8416543,0.0867,-15.52,49,200,20.0
1770203093.9142628,0.0764,-19.26,88,200,20.0
1770203093.9873705,0.0482,-23.37,135,200,20.0
1770203094.0599198,0.0783,-26.06,135,200,20.0
1770203094.1322641,-0.1722,-47.70,135,200,20.0
1770203094.2154148,0.5258,46.12,-108,200,20.0
1770203094.289911,0.6607,50.21,-108,200,20.0
1770203094.3618722,0.4430,29.23,-108,200,20.0
1770203094.4344485,0.5405,57.78,-108,200,20.0
1770203103.0529654,0.6984,55.22,-108,200,20.0
1770203103.8737457,-0.9732,18.63,135,200,20.0
1770203113.050063,-0.4580,-7.52,135,383,38.4
1770203115.0218422,0.0683,54.77,-108,200,20.0
1770203116.9899294,-0.3627,13.84,135,206,20.7
1770203117.0507436,-0.5300,10.28,135,289,29.0
1770203117.1135538,-0.6127,2.96,135,495,49.5
1770203117.167175,-0.6219,1.19,135,500,50.0
1770203117.2305515,-0.5028,10.50,135,282,28.3
1770203117.2932782,-0.4963,12.34,135,232,23.3
1770203117.3548687,-0.5349,8.54,135,348,34.9
1770203117.4184837,-0.4635,14.45,135,201,20.2
1770203117.4800935,-0.3555,22.95,121,200,20.0
1770203117.5323439,-0.3687,21.73,135,200,20.0
1770203117.595205,-0.2648,28.15,2,200,20.0
1770203117.6670609,-0.2669,29.03,-2,200,20.0
1770203117.7208025,-0.3205,25.42,72,200,20.0
1770203117.7842362,-0.3794,21.54,135,200,20.0
1770203117.8453436,-0.4550,17.55,135,200,20.0
1770203117.9090092,-0.3914,20.72,135,200,20.0
1770203117.9615383,-0.4149,15.90,135,200,20.0
1770203118.0238876,-0.4173,8.30,135,356,35.7
1770203118.0879767,-0.2951,13.21,135,215,21.6
1770203118.1500843,-0.2630,12.62,113,226,22.7
1770203118.2127984,1.2402,72.72,-108,200,20.0
1770203118.2762072,1.4198,74.43,-108,200,20.0
1770203118.3280282,-0.4342,-2.79,135,496,49.7
1770203118.3908932,-0.5140,-7.42,135,386,38.7
1770203118.4536488,-0.4660,-3.70,135,485,48.6
1770203118.5172956,-0.4649,-3.86,135,483,48.3
1770203118.5799594,-0.3560,8.47,135,350,35.1
1770203118.641993,-0.4485,-2.62,135,497,49.8
1770203118.7053628,-0.3096,8.84,121,338,33.8
1770203118.7579517,-0.4198,0.10,135,500,50.0
1770203118.8205779,-0.5249,-6.36,135,421,42.1
1770203118.8853464,-0.4268,-1.56,135,500,50.0
1770203118.94828,-0.5394,-8.28,135,357,35.7
1770203119.0108244,-0.5149,-5.37,135,449,45.0
1770203119.0643735,-0.5190,-8.16,135,361,36.2
1770203119.129569,-0.4831,-4.96,135,460,46.1
1770203119.1917603,-0.5530,-9.80,135,305,30.5
1770203119.2536898,-0.4834,-6.42,135,419,42.0
1770203119.3178418,-0.4005,3.48,117,489,48.9
1770203119.3694272,-0.5202,-6.69,135,411,41.1
1770203119.4318607,-0.4815,-6.97,135,401,40.2
1770203119.495228,-0.5768,-12.83,135,222,22.2
1770203119.5573745,-0.5916,-8.06,135,365,36.5
1770203119.6195693,-0.7952,-17.35,135,200,20.0
1770203119.682153,-0.3522,4.02,100,480,48.1
1770203119.744954,-0.4911,-7.12,135,397,39.7
1770203119.8075175,-0.4350,-6.75,135,409,40.9
1770203119.8604114,-0.2114,9.72,64,308,30.8
1770203119.9243443,-2.4629,-46.50,135,200,20.0
1770203119.9854462,-2.4004,-45.79,135,200,20.0
1770203120.0507963,-3.2457,-85.36,135,200,20.0
1770203120.1062064,0.4903,43.68,-108,200,20.0
1770203120.1696978,0.6282,1.06,-108,500,50.0
1770203120.231209,0.5131,52.30,-108,200,20.0
1770203120.294612,0.1030,27.32,-108,200,20.0
